TITLE,LINK,DESCRIPTIONS,SPEAKERS,LOCATIONS,TIME
News flash: Bringing investigative reporting to life with interactives,http://ire.org/events-and-training/event/975/1338/,"*Moderated by Paul Grabowicz, UC Berkeley Graduate School of Journalism
For journalists, the tools of the trade expand every day as the formats, medium, and platforms for presenting news stories evolve. Resource-constrained newsrooms must keep up with the latest technologies not just for bottom line reasons but because technology can help us build better, more shareable stories. Charts and graphics, maps, databases from scratch, choose your own adventures, and flow charts, these tools have earned their place inside deep-dive projects. But for journalists laser-focused on reporting, where and how can thinking about data-driven interactives fit in? This panel will bring together leading interactive journalists who dove deep and lived to tell the tale. They will share tips and tactics for reporters to build their own newsroom’s interactive toolkit.*Moderated by Paul Grabowicz, UC Berkeley Graduate School of JournalismFor journalists, the tools of the trade expand every day as the formats, medium, and platforms for presenting news stories evolve. Resource-constrained newsrooms must keep up with the latest technologies not just for bottom line reasons but because technology can help us build better, more shareable stories. Charts and graphics, maps, databases from scratch, choose your own adventures, and flow charts, these tools have earned their place inside deep-dive projects. But for journalists laser-focused on reporting, where and how can thinking about data-driven interactives fit in? This panel will bring together leading interactive journalists who dove deep and lived to tell the tale. They will share tips and tactics for reporters to build their own newsroom’s interactive toolkit.","Tasneem Raja, Josh Williams, Paul Grabowicz, Noah Veltman",Club Room,9 a.m. - 10 a.m.
Tableau Public for beginners (Hosted by Tableau),http://ire.org/events-and-training/event/975/1476/,"Learn how to create beautiful, interactive data visualizations on short deadlines.  No programming required.  You'll learn everything you need to build data visualizations and publish them to your website just like a video.  We'll teach you how to: Connect to Excel files and other data, create maps and charts, format them beautifully and make them interactive. 
Tableau Public is a free tool for journalists.  No previous experience with Tableau is necessary to take this class.  Laptops will be provided. This is a free training, however you must be registered for the IRE Conference to attend this class.  Limited seats are available. Register for this training today.Learn how to create beautiful, interactive data visualizations on short deadlines.  No programming required.  You'll learn everything you need to build data visualizations and publish them to your website just like a video.  We'll teach you how to: Connect to Excel files and other data, create maps and charts, format them beautifully and make them interactive. Tableau Public is a free tool for journalists.  No previous experience with Tableau is necessary to take this class.  Laptops will be provided. This is a free training, however you must be registered for the IRE Conference to attend this class.  Limited seats are available. Register for this training today.",Tara Walker,Nob Hill C,9 a.m. - 12:30 p.m.
Data-driven ethics: Tricky questions buried in the numbers,http://ire.org/events-and-training/event/975/1374/,"*Moderated by Sally Lehrman, Markkula Center for Applied Ethics
Are the data too easy to interpret? Confirm commonly held stereotypes? Put sources at risk? Watch out! Data journalists must consider some thorny issues in the everlasting, far-reaching, and deep-diving environment of digital media. Esteemed civil rights lawyer Eva Paterson reveals the bias often built into data. Three expert practitioners share compelling ethics considerations that have troubled them. You join the panel in proposing some solutions.*Moderated by Sally Lehrman, Markkula Center for Applied EthicsAre the data too easy to interpret? Confirm commonly held stereotypes? Put sources at risk? Watch out! Data journalists must consider some thorny issues in the everlasting, far-reaching, and deep-diving environment of digital media. Esteemed civil rights lawyer Eva Paterson reveals the bias often built into data. Three expert practitioners share compelling ethics considerations that have troubled them. You join the panel in proposing some solutions.","Jennifer LaFleur, Ricardo Sandoval-Palos, Sally Lehrman, Chrys Wu, Eva Paterson",Salon 12-13,9 a.m. - 10 a.m.
Rapid data publishing with Caspio (Hosted by Caspio),http://ire.org/events-and-training/event/975/1478/,"For those who are new to Caspio, this session provides a hands-on introduction to the Caspio framework for rapid database publishing. Learn how to import a public data set (Census, crime, health inspections, etc.) and quickly build an interactive searchable web app for your website. Topics covered: Importing data; Creating a searchable database; Report interfaces and layouts; Embedded deployment on your website.
No previous Caspio experience is necessary. Laptops will be provided. Seating is limited, so pre-registration is highly encouraged for these sessions. 
Register now to reserve your spot.For those who are new to Caspio, this session provides a hands-on introduction to the Caspio framework for rapid database publishing. Learn how to import a public data set (Census, crime, health inspections, etc.) and quickly build an interactive searchable web app for your website. Topics covered: Importing data; Creating a searchable database; Report interfaces and layouts; Embedded deployment on your website.No previous Caspio experience is necessary. Laptops will be provided. Seating is limited, so pre-registration is highly encouraged for these sessions. Register now to reserve your spot.",Edward Garcia,Nob Hill D,9 a.m. - 10:50 a.m.
Investigations that focus on forgotten victims,http://ire.org/events-and-training/event/975/1355/,"*Moderated by Jenifer McKim, New England Center for Investigative Reporting
Senior citizens neglected to death, coal miners struck with black lung and blocked from help, abused children whose cries go unheard, and forgotten creditors in a city's high profile bankruptcy mess. These are stories that often go overlooked until a reporter focuses the public lens on its victims. In this panel, reporters will talk about what makes a good story, provide tips on finding unheard victims, and discuss challenges about writing three-dimensional stories about situations that aren't always clear cut.*Moderated by Jenifer McKim, New England Center for Investigative ReportingSenior citizens neglected to death, coal miners struck with black lung and blocked from help, abused children whose cries go unheard, and forgotten creditors in a city's high profile bankruptcy mess. These are stories that often go overlooked until a reporter focuses the public lens on its victims. In this panel, reporters will talk about what makes a good story, provide tips on finding unheard victims, and discuss challenges about writing three-dimensional stories about situations that aren't always clear cut.","Matthew Mosk, AC Thompson, Jenifer McKim, Azmat Khan",Salon 10-11,9 a.m. - 10 a.m.
Mastering the investigative interview,http://ire.org/events-and-training/event/975/1321/,"We've all done it - blown a key interview. When the subjects of our investigations are pros at spin and subterfuge, we need more than good research. Julian Sher, the senior producer of CBC TV's the fifth estate and author of six books whose articles have appeared in the New York Times and Canadian newspapers, will teach you how to change the very way you see interviews, how to structure them in a radical new way and some key tools and techniques to succeed.We've all done it - blown a key interview. When the subjects of our investigations are pros at spin and subterfuge, we need more than good research. Julian Sher, the senior producer of CBC TV's the fifth estate and author of six books whose articles have appeared in the New York Times and Canadian newspapers, will teach you how to change the very way you see interviews, how to structure them in a radical new way and some key tools and techniques to succeed.",Julian Sher,Salon 4-6,9 a.m. - 10 a.m.
Managing and juggling investigative work,http://ire.org/events-and-training/event/975/1483/,"This session will provide tips on how to find time to do investigative work in the midst of other newsroom demands and provide strategies for how to get that work noticed in a 24-7 news cycle. It will emphasize efficiencies and organization and will discuss the pros and cons of producing one big project versus a running investigation. The discussion will bring perspectives from traditional print, online and broadcast.This session will provide tips on how to find time to do investigative work in the midst of other newsroom demands and provide strategies for how to get that work noticed in a 24-7 news cycle. It will emphasize efficiencies and organization and will discuss the pros and cons of producing one big project versus a running investigation. The discussion will bring perspectives from traditional print, online and broadcast.","Jennifer Forsyth, Sarah Karp, Liz Roldan",Salon 7,10:10 a.m. - 11:10 a.m.
Fraud: The memorabilia racket,http://ire.org/events-and-training/event/975/1392/,"*Moderated by Hagit Limor, Fox19 Cincinnati
The editor of ""Autograph"" magazine joins three reporters with different angles on an ongoing national fraud -- selling fake autographs as the real deal. This panel includes the expert you'll need to turn a story likely untold in your region.*Moderated by Hagit Limor, Fox19 CincinnatiThe editor of ""Autograph"" magazine joins three reporters with different angles on an ongoing national fraud -- selling fake autographs as the real deal. This panel includes the expert you'll need to turn a story likely untold in your region.","Philip Drechsler, Eric Flack, Hagit Limor, Steve Cyrkin",Salon 14-15,10:10 a.m. - 11:10 a.m.
"Covering prisons, jails and ""mass incarceration""  (Sponsored by Criminal Justice Journalists)",http://ire.org/events-and-training/event/975/1375/,"Moderated by Ted Gest, Criminal Justice Journalists
Despite falling crime rates, the U.S. remains one of the world’s incarceration leaders, with more than 2 million people in prisons and jails. Unless there’s a riot or an escape, the media tend to ignore this problem. Hear from journalists and an outside expert about the leading issues, including overcrowding, poor inmate health care, private prisons, solitary confinement, mental illness behind bars, and whether efforts by California and other states to reduce corrections populations are succeeding.Moderated by Ted Gest, Criminal Justice JournalistsDespite falling crime rates, the U.S. remains one of the world’s incarceration leaders, with more than 2 million people in prisons and jails. Unless there’s a riot or an escape, the media tend to ignore this problem. Hear from journalists and an outside expert about the leading issues, including overcrowding, poor inmate health care, private prisons, solitary confinement, mental illness behind bars, and whether efforts by California and other states to reduce corrections populations are succeeding.","Barry Krisberg, Marisa Lagos, Ted Gest, Paige St. John",Salon 12-13,10:10 a.m. - 11:10 a.m.
On the beat: Education,http://ire.org/events-and-training/event/975/1356/,"*Moderated by Terri Langford, The Texas Tribune
This session will discuss how to get beyond the traditional education investigative story. Topics will include a discussion of creative documents, databases and non-traditional story ideas; how to use federal data, documents and build useful sources to write about segregation, violence, mismanagement and waste in school districts and more.*Moderated by Terri Langford, The Texas TribuneThis session will discuss how to get beyond the traditional education investigative story. Topics will include a discussion of creative documents, databases and non-traditional story ideas; how to use federal data, documents and build useful sources to write about segregation, violence, mismanagement and waste in school districts and more.","Jeremy Adam Smith, Nikole Hannah-Jones, Susan Ferriss, Terri Langford",Salon 10-11,10:10 a.m. - 11:10 a.m.
The oceans: A rich source for investigative stories (Sponsored by Society of Environmental Journalists),http://ire.org/events-and-training/event/975/1317/,"*Moderated by Carolyn Whetzel, Bloomberg BNA
Acidification, dead zones, overfishing, urban runoff, and marine debris are just some of the threats facing the world's oceans making headlines. At this session, panelists will dive deep into these environmental issues and take a look at the major ocean stories that are being under-reported.*Moderated by Carolyn Whetzel, Bloomberg BNAAcidification, dead zones, overfishing, urban runoff, and marine debris are just some of the threats facing the world's oceans making headlines. At this session, panelists will dive deep into these environmental issues and take a look at the major ocean stories that are being under-reported.","Kristy Kroeker, Lauren Sommer, Carolyn Whetzel, David Helvarg",Salon 4-6,10:10 a.m. - 11:10 a.m.
Building trust: Getting reluctant sources to talk,http://ire.org/events-and-training/event/975/1298/,"*Moderated by Ellen Weiss, The E.W. Scripps Company
It's one of the toughest challenges any journalist faces: getting sources who don't want to talk to you, who sometimes probably shouldn't talk to you, to open up. Some of the best in the business talk about how they've gotten reluctant sources to speak, and how you can too.*Moderated by Ellen Weiss, The E.W. Scripps CompanyIt's one of the toughest challenges any journalist faces: getting sources who don't want to talk to you, who sometimes probably shouldn't talk to you, to open up. Some of the best in the business talk about how they've gotten reluctant sources to speak, and how you can too.","Ellen Gabler, Tony Kovaleski, Ellen Weiss, Andres Cediel",Salon 1-3,10:10 a.m. - 11:10 a.m.
5 tools in 60 minutes (Sponsored by Knight Foundation),http://ire.org/events-and-training/event/975/1413/,"This session will walk you through the following tools:

Google docs. A cloud-based solution to Windows Office.
DocumentCloud. Analyze, annotate, and publish your documents.
Census Reporter. The way the US Census should have designed their site.
NICAR listserv. Expert technical advice.
Google Fusion Tables. Create embeddable, linkable charts and maps, with a medium learning curve
This session will walk you through the following tools:",Matt Carroll,Nob Hill AB,10:10 a.m. - 11:10 a.m.
The art of storytelling: Writing the data story,http://ire.org/events-and-training/event/975/1357/,"From the first public records request to the final fact check, keeping the writing in mind will prevent your stories from becoming mind-numbing data dumps. We'll walk through how to focus your early work on finding the best cases for in-depth reporting; how to keep your data analysis on track while finding your ""compared to what?""; and how to draft the data-heavy sections of stories.From the first public records request to the final fact check, keeping the writing in mind will prevent your stories from becoming mind-numbing data dumps. We'll walk through how to focus your early work on finding the best cases for in-depth reporting; how to keep your data analysis on track while finding your ""compared to what?""; and how to draft the data-heavy sections of stories.","Sarah Cohen, David Donald, Ben Poston",Club Room,10:10 a.m. - 11:10 a.m.
INN: Member programs,http://ire.org/events-and-training/event/975/1497/,"Over the past four years, INN has steadily been building its programs and benefits for members.  With now 100 member organizations, these presentations will review the breadth of opportunities available to members to generate revenue, create efficiencies and increase impact:
*INN Strategy & INNovation Fund – Kevin Davis, CEO & Executive Director, INN
*Membership – Shelby Ilan, Membership Coordinator, INN
*Content & Communications – Luis Gomez, Editor & Business Reporter, INN
*Back-office Programs - Melodie Iwai, Director of Finance & Administration, INN
*Largo Project - Adam Schweigert, Director of Technology & Ryan Nagle, News Applications Developer, INN
*Data & Editorial Collaboration  - Denise Malan, Director of Data, INN/IRE
*Revenue Opportunities & Impaq.Me - Lisa Williams, Director of Revenue Generation, INN
*Community Journalism Executive Training (CJET) – Kevin Davis, CEO, INN & Anne Galloway, Editor & Executive Director, VT Digger
*Filmed Media  - Meyer Shwartzstein & Patty Ishimoto, Brainstorm MediaOver the past four years, INN has steadily been building its programs and benefits for members.  With now 100 member organizations, these presentations will review the breadth of opportunities available to members to generate revenue, create efficiencies and increase impact:*INN Strategy & INNovation Fund – Kevin Davis, CEO & Executive Director, INN*Membership – Shelby Ilan, Membership Coordinator, INN*Content & Communications – Luis Gomez, Editor & Business Reporter, INN*Back-office Programs - Melodie Iwai, Director of Finance & Administration, INN*Largo Project - Adam Schweigert, Director of Technology & Ryan Nagle, News Applications Developer, INN*Data & Editorial Collaboration  - Denise Malan, Director of Data, INN/IRE*Revenue Opportunities & Impaq.Me - Lisa Williams, Director of Revenue Generation, INN*Community Journalism Executive Training (CJET) – Kevin Davis, CEO, INN & Anne Galloway, Editor & Executive Director, VT Digger*Filmed Media  - Meyer Shwartzstein & Patty Ishimoto, Brainstorm Media",TBA,Golden Gate B,10:15 a.m. - noon
"Coverage, consequence and why staffing matters",http://ire.org/events-and-training/event/975/1472/,"*Moderated by Dori Maynard, Maynard Institute
Is your news organization missing key stories? Even worse, are you misinforming your audience? Discussions of newsroom diversity often focus on what it adds to a news organization. But lack of diversity can lead to mistakes and holes in a news organization's coverage. This session will examine what is missed -- and how audiences are misled or misinformed -- when a newsroom's staff lacks the diversity of the communities it covers.*Moderated by Dori Maynard, Maynard InstituteIs your news organization missing key stories? Even worse, are you misinforming your audience? Discussions of newsroom diversity often focus on what it adds to a news organization. But lack of diversity can lead to mistakes and holes in a news organization's coverage. This session will examine what is missed -- and how audiences are misled or misinformed -- when a newsroom's staff lacks the diversity of the communities it covers.","Dori Maynard, Manny Garcia, Susan Richardson, Donna Tam",Salon 10-11,11:20 a.m. - 12:20 p.m.
"All about surveillance: Cameras, GPS, drones, databases and more (Sponsored by Criminal Justice Journalists)",http://ire.org/events-and-training/event/975/1376/,"*Moderated by Ted Gest, Criminal Justice Journalists
Police and other investigative agencies increasingly are using high-tech surveillance methods, among them various kinds of cameras, license-plate readers, GPS anklets, ShotSpotter acoustic sensors, and drones. What policies govern their use? What can go wrong with them? Are they cost-effective? What records can journalists obtain about their use? Hear from reporters who are covering the new technology and an advocacy group that is keeping watch for abuses.*Moderated by Ted Gest, Criminal Justice JournalistsPolice and other investigative agencies increasingly are using high-tech surveillance methods, among them various kinds of cameras, license-plate readers, GPS anklets, ShotSpotter acoustic sensors, and drones. What policies govern their use? What can go wrong with them? Are they cost-effective? What records can journalists obtain about their use? Hear from reporters who are covering the new technology and an advocacy group that is keeping watch for abuses.","Demian Bulwa, Ted Gest, Jennifer Lynch, Ali Winston",Salon 12-13,11:20 a.m. - 12:20 p.m.
The power of the crowd: Sourcing investigations through audience engagement,http://ire.org/events-and-training/event/975/1315/,"*Moderated by Leonard Downie, Jr., ASU Walter Cronkite School of Journalism
Audience engagement tools – from American Public Media's Public Insight Network to social media and innovative apps – are increasingly being used to expand investigative reporting and its impact by engaging the public to find information, diversify sources, compile databases, create multimedia and disseminate stories more widely. Practitioners from ProPublica, the new PIN Bureau at the Walter Cronkite School of Journalism and the News21 national investigative reporting project show how it can be done.*Moderated by Leonard Downie, Jr., ASU Walter Cronkite School of JournalismAudience engagement tools – from American Public Media's Public Insight Network to social media and innovative apps – are increasingly being used to expand investigative reporting and its impact by engaging the public to find information, diversify sources, compile databases, create multimedia and disseminate stories more widely. Practitioners from ProPublica, the new PIN Bureau at the Walter Cronkite School of Journalism and the News21 national investigative reporting project show how it can be done.","Blair Hickman, Leonard Downie, Jr, Kristin Gilger, Brandon Quester",Salon 1-3,11:20 a.m. - 12:20 p.m.
Caspio Map Mashup (Hosted by Caspio),http://ire.org/events-and-training/event/975/1479/,"Caspio's Map Mashup automates Google map integration in a single wizard. Topics covered: Integrating a searchable database with Google Maps; Adding custom icons and filters based on criteria; Combining multiple data sources on a single map. 
No previous Caspio experience is necessary. Laptops will be provided. Seating is limited, so pre-registration is highly encouraged for these sessions. 
Register now to reserve your spot.
 Caspio's Map Mashup automates Google map integration in a single wizard. Topics covered: Integrating a searchable database with Google Maps; Adding custom icons and filters based on criteria; Combining multiple data sources on a single map. No previous Caspio experience is necessary. Laptops will be provided. Seating is limited, so pre-registration is highly encouraged for these sessions. Register now to reserve your spot. ",Edward Garcia,Nob Hill D,11:20 a.m. - noon
Broadcast: 60 ideas in 60 minutes,http://ire.org/events-and-training/event/975/1342/,This may be the one panel you will get stories you can take back to your newsroom and get started on the day you get back from IRE. These 60 stories from broadcast investigative reporters around the country will give you story ideas that will keep you busy until the IRE conference in 2015.This may be the one panel you will get stories you can take back to your newsroom and get started on the day you get back from IRE. These 60 stories from broadcast investigative reporters around the country will give you story ideas that will keep you busy until the IRE conference in 2015.,"Brian Collister, Nicole Vap",Salon 7,11:20 a.m. - 12:20 p.m.
60 (data-driven) ideas in 60 minutes,http://ire.org/events-and-training/event/975/1393/,"If you have a few data skills and you're looking for the right ideas to try them out, here are plenty -- whether you need something for tomorrow or you have a few weeks. We've got 60 proven winners for media outlets of all sizes, coming at you fast!If you have a few data skills and you're looking for the right ideas to try them out, here are plenty -- whether you need something for tomorrow or you have a few weeks. We've got 60 proven winners for media outlets of all sizes, coming at you fast!","Jodi Upton, MaryJo Webster",Salon 14-15,11:20 a.m. - 12:20 p.m.
Let's get critical: How to look at information with X-ray eyes,http://ire.org/events-and-training/event/975/1318/,"Investigative reporters find stories others miss. But how do you know what you’re seeing is real? What questions should you ask when sources feed you information or, you get your hands on that juicy piece of video or damning photo? We’ll walk through real case studies where the truth slipped through the cracks.  Can you afford NOT to be here to learn how to protect yourself from lies, liars and scoundrels who want to mislead you?
 Investigative reporters find stories others miss. But how do you know what you’re seeing is real? What questions should you ask when sources feed you information or, you get your hands on that juicy piece of video or damning photo? We’ll walk through real case studies where the truth slipped through the cracks.  Can you afford NOT to be here to learn how to protect yourself from lies, liars and scoundrels who want to mislead you? ",Al Tompkins,Salon 4-6,11:20 a.m. - 12:20 p.m.
"Search gold rush: Top 100 tips, tricks and tools to mine prospects",http://ire.org/events-and-training/event/975/1340/,"Muckrakers will leave with a basket full of the latest tips and tools for public records research, online privacy, advanced search techniques, alerting services and personal web caching and archiving.
 Muckrakers will leave with a basket full of the latest tips and tools for public records research, online privacy, advanced search techniques, alerting services and personal web caching and archiving. ","Barbara Gray, Margot Williams",Club Room,11:20 a.m. - 12:20 p.m.
Tracking subsidies with Good Jobs First (Sponsored by Knight Foundation),http://ire.org/events-and-training/event/975/1414/,"States and cities spend $70 billion per year on economic development subsidies to corporations in the “economic war among the states [and suburbs].” Find out how to investigate these costly deals, including Good Jobs First’s Subsidy Tracker database that has recently been enhanced to reveal corporate parents and big-business dominance and to better enable mash-ups.States and cities spend $70 billion per year on economic development subsidies to corporations in the “economic war among the states [and suburbs].” Find out how to investigate these costly deals, including Good Jobs First’s Subsidy Tracker database that has recently been enhanced to reveal corporate parents and big-business dominance and to better enable mash-ups.",Greg LeRoy,Nob Hill AB,11:20 a.m. - 12:20 p.m.
INN: Break,http://ire.org/events-and-training/event/975/1498/,,TBA,Golden Gate B,noon - 1 p.m.
Lunch on your own - Thursday,http://ire.org/events-and-training/event/975/1492/,,TBA,See printed schedule for room information,12:20 p.m. - 2:30 p.m.
INN: Membership council meeting,http://ire.org/events-and-training/event/975/1499/,"Comprised of the Executive Directors (or equivalent) for each INN member organization and fiscally sponsored project in attendance – the meeting will cover INN governance & bylaws, as well as provide time to members to cast their votes via the online form (which is open now through 6/26) for two member seats on the INN board of directors.Comprised of the Executive Directors (or equivalent) for each INN member organization and fiscally sponsored project in attendance – the meeting will cover INN governance & bylaws, as well as provide time to members to cast their votes via the online form (which is open now through 6/26) for two member seats on the INN board of directors.",Brant Houston,Golden Gate B,12:30 p.m. - 1 p.m.
Brownbag: Uncovering fraud - Inside the mind of a hardcore criminal,http://ire.org/events-and-training/event/975/1467/,"Grab your lunch and join a convicted felon for lessons in business. Sam Antar, the Former Crazy Eddie CFO and former CPA will share his story and offer tips and techniques for spotting fraud. Beverages will be provided.Grab your lunch and join a convicted felon for lessons in business. Sam Antar, the Former Crazy Eddie CFO and former CPA will share his story and offer tips and techniques for spotting fraud. Beverages will be provided.",Sam Antar,Salon 1-3,12:45 p.m. - 2:20 p.m.
